nombre_cie,origen
Jacaranda mimosifolia,Autoctona
Tipuana tipu,Foranea
Ceiba speciosa,Autoctona
Handroanthus impetiginosus,Autoctona
Acacia visco,Autoctona
Erythrina crista-galli,Foranea
Peltophorum dubium,Foranea
Enterolobium contortisiliquum,Foranea
Handroanthus lapacho,Foranea
Blepharocalyx salicifolius,Foranea
Cedrela fissilis,Foranea
Celtis tala,Autoctona
Sapium haematospermum,Foranea
Prosopis alba,Autoctona
Geoffroea decorticans,Foranea
Anadenanthera collubrina var.cebil,Foranea
Prosopis nigra,Foranea
Fraxinus pennsylvanica,Foranea
Platanus x acerifolia,Foranea
Ficus benjamina,Foranea
Tilia x moltkei,Foranea
Melia azedarach,Foranea
Lagerstroemia indica,Foranea
Fraxinus americana,Foranea
No identificado,Foranea
Ligustrum lucidum,Foranea
Fraxinus excelsior,Foranea
Ligustrum lucidum f. aureovariegata,Foranea
Liquidambar styraciflua,Foranea
Acer negundo,Foranea
Syagrus romanzoffiana,Foranea
Styphnolobium japonicum,Foranea
Tilia cordata,Foranea
Persea americana,Foranea
Robinia pseudoacacia,Foranea
Citrus limon,Foranea
Ailanthus altissima,Foranea
Ficus benjamina variegata,Foranea
Acer buergerianum,Foranea
Bauhinia forficata,Foranea
Acer saccharinum,Foranea
Eriobotrya japonica,Foranea
Populus deltoides,Foranea
Callistemon citrinus,Foranea
Albizia julibrissin,Foranea
Morus alba,Foranea
Hibiscus syriacus,Foranea
Nerium oleander,Foranea
Tecoma stans,Foranea
Hibiscus rosa-sinensis,Foranea
Callistemon rigidus,Foranea
Photinia x fraseri,Foranea
Populus alba,Foranea
Prunus cerasifera f. atropurpurea,Foranea
Phoenix canariensis,Foranea
Tilia platyphyllos,Foranea
Salix babylonica,Foranea
Citrus reticulata,Foranea
Morus nigra,Foranea
Ginkgo biloba,Foranea
Ficus elastica,Foranea
Casuarina cunninghamiana,Foranea
Fraxinus excelsior f.aurea,Foranea
Photinia serrulata,Foranea
Citrus aurantium,Foranea
Liquidambar formosana,Foranea
Schefflera arboricola,Foranea
Quercus robur,Foranea
Salix x erythroflexuosa,Foranea
Salix humboldtiana,Foranea
Ulmus procera,Foranea
Citrus sinensis,Foranea
Olea europaea,Foranea
Ulmus pumila,Foranea
Populus nigra `âItalicaâ,Foranea
Brachychiton populneus,Foranea
Cupressus sempervirens f. horizontalis,Foranea
Cinnamonum glanduliferum,Foranea
Quercus palustris,Foranea
Robinia pseudoacacia v. umbraculifera,Foranea
Catalpa bignonioides,Foranea
Cupressus sempervirens f. stricta,Foranea
Acer palmatum,Foranea
Liriodendron tulipifera,Foranea
Grevillea robusta,Foranea
Bougainvillea spectabilis,Foranea
Laurus nobilis,Foranea
Fraxinus oxicarpa,Foranea
Phoenix roebelenii,Foranea
Bauhinia variegata,Foranea
Prunus persica,Foranea
Schinus molle,Foranea
Cedrus deodara,Foranea
Thuja occidentalis,Foranea
Ligustrum sinense,Foranea
Ficus carica,Foranea
Gleditsia triacanthos,Foranea
Manihot grahamii,Foranea
Populus x canadensis,Foranea
Acacia dealbata,Foranea
Fraxinus ornus,Foranea
Acer pseudoplatanus,Foranea
Broussonetia papyrifera,Foranea
Populus nigra,Foranea
Quercus borealis,Foranea
Eucalyptus camaldulensis,Foranea
Prunus domestica,Foranea
Cinnamomum camphora,Foranea
Washingtonia filifera,Foranea
Melia azedarach  var. umbraculifera,Foranea
Acer campestre,Foranea
Livistona chinensis,Foranea
