h3_index,Autoctona,Foranea,ratio
89c2e302007ffff,22,40,0.3548387096774194
89c2e30201bffff,33,113,0.22602739726027396
89c2e302023ffff,12,23,0.34285714285714286
89c2e302027ffff,36,19,0.6545454545454545
89c2e30202fffff,4,8,0.3333333333333333
89c2e302033ffff,34,44,0.4358974358974359
89c2e3020d3ffff,35,108,0.24475524475524477
89c2e302153ffff,35,96,0.26717557251908397
89c2e302283ffff,10,15,0.4
89c2e302293ffff,1,1,0.5
89c2e30255bffff,37,112,0.2483221476510067
89c2e30262bffff,28,81,0.25688073394495414
89c2e302647ffff,23,29,0.4423076923076923
89c2e302653ffff,19,10,0.6551724137931034
89c2e302677ffff,25,50,0.3333333333333333
89c2e30268bffff,13,19,0.40625
89c2e302697ffff,25,87,0.22321428571428573
89c2e3026b3ffff,21,70,0.23076923076923078
89c2e31002bffff,39,94,0.2932330827067669
89c2e310093ffff,15,11,0.5769230769230769
89c2e310347ffff,20,53,0.273972602739726
89c2e31042fffff,20,59,0.25316455696202533
89c2e3104c3ffff,6,0,1.0
89c2e3108c3ffff,23,21,0.5227272727272727
89c2e31092fffff,38,95,0.2857142857142857
89c2e310a23ffff,38,89,0.2992125984251969
89c2e310a27ffff,62,160,0.27927927927927926
89c2e311003ffff,9,13,0.4090909090909091
89c2e31102bffff,27,69,0.28125
89c2e31114fffff,34,119,0.2222222222222222
89c2e311207ffff,60,44,0.5769230769230769
89c2e31120fffff,8,1,0.8888888888888888
89c2e31122fffff,18,63,0.2222222222222222
89c2e31123bffff,36,65,0.3564356435643564
89c2e31128bffff,12,22,0.35294117647058826
89c2e3112abffff,16,29,0.35555555555555557
89c2e3112bbffff,15,5,0.75
89c2e311307ffff,22,26,0.4583333333333333
89c2e31130fffff,18,47,0.27692307692307694
89c2e311313ffff,27,26,0.5094339622641509
89c2e311317ffff,24,7,0.7741935483870968
89c2e31131bffff,35,18,0.660377358490566
89c2e311323ffff,9,8,0.5294117647058824
89c2e31132bffff,21,53,0.28378378378378377
89c2e31132fffff,22,43,0.3384615384615385
89c2e311333ffff,6,0,1.0
89c2e31133bffff,13,32,0.28888888888888886
89c2e31135bffff,33,78,0.2972972972972973
89c2e311373ffff,32,78,0.2909090909090909
89c2e311377ffff,39,91,0.3
89c2e311383ffff,15,45,0.25
89c2e311387ffff,13,31,0.29545454545454547
89c2e31138fffff,28,12,0.7
89c2e3113b3ffff,21,11,0.65625
89c2e3113c7ffff,21,38,0.3559322033898305
89c2e3113d7ffff,18,54,0.25
89c2e3113dbffff,24,67,0.26373626373626374
89c2e311457ffff,54,69,0.43902439024390244
89c2e3114cfffff,23,71,0.24468085106382978
89c2e311527ffff,49,147,0.25
89c2e31157bffff,4,7,0.36363636363636365
89c2e311603ffff,38,50,0.4318181818181818
89c2e31160bffff,19,19,0.5
89c2e31184fffff,6,18,0.25
89c2e311907ffff,45,137,0.24725274725274726
89c2e31190fffff,8,28,0.2222222222222222
89c2e311957ffff,40,82,0.32786885245901637
89c2e311973ffff,26,72,0.2653061224489796
89c2e311977ffff,14,26,0.35
89c2e311a03ffff,4,4,0.5
89c2e311a07ffff,107,108,0.49767441860465117
89c2e311a0fffff,25,28,0.4716981132075472
89c2e311a17ffff,12,28,0.3
89c2e311a23ffff,30,65,0.3157894736842105
89c2e311a33ffff,112,90,0.5544554455445545
89c2e311a37ffff,61,75,0.4485294117647059
89c2e311a3bffff,55,71,0.4365079365079365
89c2e311a87ffff,52,93,0.3586206896551724
89c2e311ac3ffff,14,21,0.4
89c2e311ac7ffff,21,72,0.22580645161290322
89c2e311ad3ffff,40,93,0.3007518796992481
89c2e311b57ffff,42,0,1.0
89c2e311b8bffff,24,59,0.2891566265060241
89c2e311bcbffff,8,18,0.3076923076923077
89c2e311d83ffff,34,114,0.22972972972972974
89c2e311e1bffff,20,64,0.23809523809523808
89c2e311e47ffff,15,46,0.2459016393442623
89c2e311e4fffff,28,60,0.3181818181818182
89c2e311e5bffff,27,87,0.23684210526315788
89c2e3120c7ffff,1,0,1.0
89c2e31216bffff,11,22,0.3333333333333333
89c2e312263ffff,17,27,0.38636363636363635
89c2e3122dbffff,9,7,0.5625
89c2e312413ffff,17,38,0.3090909090909091
89c2e31241bffff,2,5,0.2857142857142857
89c2e312457ffff,38,68,0.3584905660377358
89c2e3125a7ffff,12,16,0.42857142857142855
89c2e313147ffff,30,106,0.22058823529411764
89c2e31317bffff,41,82,0.3333333333333333
89c2e31318bffff,27,36,0.42857142857142855
89c2e31323bffff,18,16,0.5294117647058824
89c2e313307ffff,1,0,1.0
89c2e31ac23ffff,3,4,0.42857142857142855
89c2e31ac37ffff,67,47,0.5877192982456141
89c2e31ac87ffff,29,54,0.3493975903614458
89c2e31ac93ffff,45,57,0.4411764705882353
89c2e31ac9bffff,6,0,1.0
89c2e31acabffff,22,50,0.3055555555555556
89c2e31acbbffff,35,65,0.35
89c2e31ad13ffff,10,16,0.38461538461538464
89c2e31ad87ffff,18,9,0.6666666666666666
89c2e31ad8fffff,38,29,0.5671641791044776
89c2e31ad93ffff,10,22,0.3125
89c2e31ad97ffff,22,26,0.4583333333333333
89c2e31ada7ffff,41,121,0.25308641975308643
89c2e31adbbffff,19,24,0.4418604651162791
89c2e31adcbffff,26,17,0.6046511627906976
89c2e388a33ffff,8,3,0.7272727272727273
89c2e388b0bffff,24,74,0.24489795918367346
89c2e38d20bffff,10,6,0.625
89c2e38d2dbffff,20,40,0.3333333333333333
