h3_index,Autoctona,Foranea,ratio
89c2e302007ffff,22,40,0.3548387096774194
89c2e30200bffff,0,28,0.0
89c2e30200fffff,1,17,0.05555555555555555
89c2e302013ffff,3,149,0.019736842105263157
89c2e302017ffff,18,190,0.08653846153846154
89c2e30201bffff,33,113,0.22602739726027396
89c2e302023ffff,12,23,0.34285714285714286
89c2e302027ffff,36,19,0.6545454545454545
89c2e30202fffff,4,8,0.3333333333333333
89c2e302033ffff,34,44,0.4358974358974359
89c2e302037ffff,42,209,0.16733067729083664
89c2e302043ffff,2,40,0.047619047619047616
89c2e302047ffff,0,1,0.0
89c2e302053ffff,37,135,0.21511627906976744
89c2e302057ffff,4,138,0.028169014084507043
89c2e30205bffff,0,112,0.0
89c2e302077ffff,0,12,0.0
89c2e302083ffff,13,182,0.06666666666666667
89c2e302087ffff,13,195,0.0625
89c2e30208bffff,6,217,0.026905829596412557
89c2e30208fffff,11,268,0.03942652329749104
89c2e302093ffff,8,171,0.0446927374301676
89c2e302097ffff,16,196,0.07547169811320754
89c2e30209bffff,3,188,0.015706806282722512
89c2e3020a3ffff,6,99,0.05714285714285714
89c2e3020a7ffff,25,283,0.08116883116883117
89c2e3020abffff,13,192,0.06341463414634146
89c2e3020afffff,24,221,0.09795918367346938
89c2e3020b3ffff,4,254,0.015503875968992248
89c2e3020b7ffff,36,225,0.13793103448275862
89c2e3020bbffff,2,197,0.010050251256281407
89c2e3020c3ffff,18,208,0.07964601769911504
89c2e3020c7ffff,17,189,0.0825242718446602
89c2e3020cbffff,45,215,0.17307692307692307
89c2e3020cfffff,18,187,0.08780487804878048
89c2e3020d3ffff,35,108,0.24475524475524477
89c2e3020d7ffff,7,187,0.03608247422680412
89c2e3020dbffff,9,167,0.05113636363636364
89c2e302153ffff,35,96,0.26717557251908397
89c2e302183ffff,2,52,0.037037037037037035
89c2e30218bffff,0,25,0.0
89c2e302193ffff,5,207,0.02358490566037736
89c2e302197ffff,0,2,0.0
89c2e30219bffff,5,199,0.024509803921568627
89c2e3021c3ffff,16,243,0.06177606177606178
89c2e3021c7ffff,4,127,0.030534351145038167
89c2e3021cbffff,4,216,0.01818181818181818
89c2e3021cfffff,5,160,0.030303030303030304
89c2e3021d3ffff,21,237,0.08139534883720931
89c2e3021d7ffff,21,171,0.109375
89c2e3021dbffff,11,235,0.044715447154471545
89c2e302213ffff,7,192,0.035175879396984924
89c2e302283ffff,10,15,0.4
89c2e302293ffff,1,1,0.5
89c2e302403ffff,18,135,0.11764705882352941
89c2e302407ffff,12,139,0.07947019867549669
89c2e30240bffff,4,183,0.0213903743315508
89c2e30240fffff,22,102,0.1774193548387097
89c2e302413ffff,6,148,0.03896103896103896
89c2e302417ffff,6,186,0.03125
89c2e30241bffff,29,137,0.1746987951807229
89c2e302423ffff,10,185,0.05128205128205128
89c2e302427ffff,7,194,0.03482587064676617
89c2e30242bffff,7,154,0.043478260869565216
89c2e30242fffff,20,120,0.14285714285714285
89c2e302433ffff,11,192,0.054187192118226604
89c2e302437ffff,19,208,0.08370044052863436
89c2e30243bffff,25,98,0.2032520325203252
89c2e302443ffff,18,230,0.07258064516129033
89c2e302447ffff,3,205,0.014423076923076924
89c2e30244bffff,13,193,0.06310679611650485
89c2e30244fffff,7,130,0.051094890510948905
89c2e302453ffff,6,232,0.025210084033613446
89c2e302457ffff,9,191,0.045
89c2e30245bffff,33,190,0.14798206278026907
89c2e302463ffff,6,227,0.02575107296137339
89c2e302467ffff,14,189,0.06896551724137931
89c2e30246bffff,11,181,0.057291666666666664
89c2e30246fffff,7,149,0.04487179487179487
89c2e302473ffff,9,187,0.04591836734693878
89c2e302477ffff,6,207,0.028169014084507043
89c2e30247bffff,5,133,0.036231884057971016
89c2e302483ffff,7,191,0.03535353535353535
89c2e302487ffff,7,149,0.04487179487179487
89c2e30248bffff,16,151,0.09580838323353294
89c2e30248fffff,11,190,0.05472636815920398
89c2e302493ffff,6,213,0.0273972602739726
89c2e302497ffff,20,208,0.08771929824561403
89c2e30249bffff,10,209,0.045662100456621
89c2e3024a3ffff,8,170,0.0449438202247191
89c2e3024a7ffff,9,183,0.046875
89c2e3024abffff,13,148,0.08074534161490683
89c2e3024afffff,10,168,0.056179775280898875
89c2e3024b3ffff,4,171,0.022857142857142857
89c2e3024b7ffff,3,166,0.01775147928994083
89c2e3024bbffff,15,182,0.07614213197969544
89c2e3024c3ffff,24,177,0.11940298507462686
89c2e3024c7ffff,8,183,0.041884816753926704
89c2e3024cbffff,18,112,0.13846153846153847
89c2e3024cfffff,25,117,0.176056338028169
89c2e3024d3ffff,33,176,0.15789473684210525
89c2e3024d7ffff,7,110,0.05982905982905983
89c2e3024dbffff,28,206,0.11965811965811966
89c2e302503ffff,5,217,0.02252252252252252
89c2e302507ffff,2,76,0.02564102564102564
89c2e30250bffff,11,213,0.049107142857142856
89c2e30250fffff,6,187,0.031088082901554404
89c2e302513ffff,2,173,0.011428571428571429
89c2e302517ffff,7,189,0.03571428571428571
89c2e30251bffff,7,223,0.030434782608695653
89c2e302523ffff,8,196,0.0392156862745098
89c2e302527ffff,1,111,0.008928571428571428
89c2e30252bffff,3,133,0.022058823529411766
89c2e30252fffff,6,148,0.03896103896103896
89c2e302533ffff,8,255,0.030418250950570342
89c2e302537ffff,1,247,0.004032258064516129
89c2e30253bffff,25,185,0.11904761904761904
89c2e302543ffff,14,213,0.06167400881057269
89c2e302547ffff,5,208,0.023474178403755867
89c2e30254bffff,13,219,0.05603448275862069
89c2e30254fffff,25,142,0.1497005988023952
89c2e302553ffff,16,201,0.07373271889400922
89c2e302557ffff,24,229,0.09486166007905138
89c2e30255bffff,37,112,0.2483221476510067
89c2e302563ffff,6,194,0.03
89c2e302567ffff,2,200,0.009900990099009901
89c2e30256bffff,17,155,0.09883720930232558
89c2e30256fffff,12,146,0.0759493670886076
89c2e302573ffff,6,199,0.02926829268292683
89c2e302577ffff,6,194,0.03
89c2e30257bffff,18,131,0.12080536912751678
89c2e302583ffff,4,113,0.03418803418803419
89c2e302587ffff,3,152,0.01935483870967742
89c2e30258bffff,4,222,0.017699115044247787
89c2e30258fffff,5,201,0.024271844660194174
89c2e302593ffff,15,213,0.06578947368421052
89c2e302597ffff,10,180,0.05263157894736842
89c2e30259bffff,6,233,0.02510460251046025
89c2e3025a3ffff,7,164,0.04093567251461988
89c2e3025a7ffff,2,165,0.011976047904191617
89c2e3025abffff,6,112,0.05084745762711865
89c2e3025afffff,2,83,0.023529411764705882
89c2e3025b3ffff,0,177,0.0
89c2e3025b7ffff,3,196,0.01507537688442211
89c2e3025bbffff,4,215,0.0182648401826484
89c2e3025c3ffff,17,227,0.06967213114754098
89c2e3025c7ffff,4,267,0.014760147601476014
89c2e3025cbffff,15,220,0.06382978723404255
89c2e3025cfffff,12,214,0.05309734513274336
89c2e3025d3ffff,4,196,0.02
89c2e3025d7ffff,17,231,0.06854838709677419
89c2e3025dbffff,14,183,0.07106598984771574
89c2e302607ffff,6,73,0.0759493670886076
89c2e30260fffff,0,28,0.0
89c2e302623ffff,9,141,0.06
89c2e302627ffff,7,128,0.05185185185185185
89c2e30262bffff,28,81,0.25688073394495414
89c2e30262fffff,3,25,0.10714285714285714
89c2e302633ffff,4,188,0.020833333333333332
89c2e302637ffff,10,213,0.04484304932735426
89c2e30263bffff,11,137,0.07432432432432433
89c2e302643ffff,0,5,0.0
89c2e302647ffff,23,29,0.4423076923076923
89c2e30264bffff,0,8,0.0
89c2e302653ffff,19,10,0.6551724137931034
89c2e302663ffff,0,19,0.0
89c2e30266bffff,0,69,0.0
89c2e302677ffff,25,50,0.3333333333333333
89c2e302683ffff,8,160,0.047619047619047616
89c2e302687ffff,6,78,0.07142857142857142
89c2e30268bffff,13,19,0.40625
89c2e30268fffff,0,65,0.0
89c2e302693ffff,18,102,0.15
89c2e302697ffff,25,87,0.22321428571428573
89c2e30269bffff,11,121,0.08333333333333333
89c2e3026a3ffff,17,155,0.09883720930232558
89c2e3026a7ffff,23,99,0.1885245901639344
89c2e3026abffff,12,93,0.11428571428571428
89c2e3026afffff,6,172,0.033707865168539325
89c2e3026b3ffff,21,70,0.23076923076923078
89c2e3026b7ffff,17,117,0.12686567164179105
89c2e3026bbffff,9,97,0.08490566037735849
89c2e3026d3ffff,1,36,0.02702702702702703
89c2e3026d7ffff,2,53,0.03636363636363636
89c2e303483ffff,0,2,0.0
89c2e303493ffff,0,3,0.0
89c2e30358fffff,0,161,0.0
89c2e3035c3ffff,0,55,0.0
89c2e3035dbffff,0,84,0.0
89c2e310003ffff,28,170,0.1414141414141414
89c2e310007ffff,36,171,0.17391304347826086
89c2e31000bffff,5,196,0.024875621890547265
89c2e31000fffff,14,204,0.06422018348623854
89c2e310013ffff,26,162,0.13829787234042554
89c2e310017ffff,7,198,0.03414634146341464
89c2e31001bffff,15,132,0.10204081632653061
89c2e310023ffff,7,124,0.05343511450381679
89c2e310027ffff,1,32,0.030303030303030304
89c2e31002bffff,39,94,0.2932330827067669
89c2e31002fffff,5,149,0.032467532467532464
89c2e310033ffff,8,127,0.05925925925925926
89c2e310037ffff,6,40,0.13043478260869565
89c2e31003bffff,3,157,0.01875
89c2e310043ffff,13,213,0.05752212389380531
89c2e310047ffff,2,138,0.014285714285714285
89c2e31004bffff,11,199,0.05238095238095238
89c2e31004fffff,6,204,0.02857142857142857
89c2e310053ffff,11,158,0.0650887573964497
89c2e310057ffff,6,192,0.030303030303030304
89c2e31005bffff,7,151,0.04430379746835443
89c2e310063ffff,16,205,0.07239819004524888
89c2e310067ffff,0,158,0.0
89c2e31006bffff,20,200,0.09090909090909091
89c2e31006fffff,5,106,0.04504504504504504
89c2e310073ffff,7,202,0.03349282296650718
89c2e310077ffff,2,85,0.022988505747126436
89c2e31007bffff,10,137,0.06802721088435375
89c2e310083ffff,12,104,0.10344827586206896
89c2e310087ffff,15,140,0.0967741935483871
89c2e31008bffff,33,271,0.10855263157894737
89c2e31008fffff,15,116,0.11450381679389313
89c2e310093ffff,15,11,0.5769230769230769
89c2e310097ffff,15,184,0.07537688442211055
89c2e31009bffff,14,67,0.1728395061728395
89c2e3100a3ffff,7,158,0.04242424242424243
89c2e3100a7ffff,3,97,0.03
89c2e3100abffff,9,192,0.04477611940298507
89c2e3100afffff,4,130,0.029850746268656716
89c2e3100b3ffff,9,168,0.05084745762711865
89c2e3100b7ffff,2,146,0.013513513513513514
89c2e3100bbffff,6,163,0.03550295857988166
89c2e3100c3ffff,12,236,0.04838709677419355
89c2e3100c7ffff,26,230,0.1015625
89c2e3100cbffff,21,194,0.09767441860465116
89c2e3100cfffff,16,153,0.09467455621301775
89c2e3100d3ffff,17,176,0.08808290155440414
89c2e3100d7ffff,20,410,0.046511627906976744
89c2e3100dbffff,13,215,0.05701754385964912
89c2e310103ffff,1,134,0.007407407407407408
89c2e310107ffff,3,195,0.015151515151515152
89c2e31010bffff,2,41,0.046511627906976744
89c2e31010fffff,1,93,0.010638297872340425
89c2e310113ffff,6,191,0.030456852791878174
89c2e310117ffff,2,153,0.012903225806451613
89c2e31011bffff,11,146,0.07006369426751592
89c2e310123ffff,1,156,0.006369426751592357
89c2e310127ffff,2,103,0.01904761904761905
89c2e31012bffff,9,167,0.05113636363636364
89c2e31012fffff,0,121,0.0
89c2e310133ffff,4,210,0.018691588785046728
89c2e310137ffff,10,111,0.08264462809917356
89c2e31013bffff,6,152,0.0379746835443038
89c2e310143ffff,19,233,0.07539682539682539
89c2e310147ffff,25,223,0.10080645161290322
89c2e31014bffff,9,217,0.03982300884955752
89c2e31014fffff,19,215,0.0811965811965812
89c2e310153ffff,9,183,0.046875
89c2e310157ffff,14,202,0.06481481481481481
89c2e31015bffff,8,196,0.0392156862745098
89c2e310163ffff,8,205,0.03755868544600939
89c2e310167ffff,6,174,0.03333333333333333
89c2e31016bffff,14,248,0.05343511450381679
89c2e31016fffff,6,180,0.03225806451612903
89c2e310173ffff,4,113,0.03418803418803419
89c2e310177ffff,21,134,0.13548387096774195
89c2e31017bffff,6,150,0.038461538461538464
89c2e310183ffff,14,189,0.06896551724137931
89c2e310187ffff,8,174,0.04395604395604396
89c2e31018bffff,11,167,0.06179775280898876
89c2e31018fffff,19,228,0.07692307692307693
89c2e310193ffff,8,167,0.045714285714285714
89c2e310197ffff,17,235,0.06746031746031746
89c2e31019bffff,4,149,0.026143790849673203
89c2e3101a3ffff,12,196,0.057692307692307696
89c2e3101a7ffff,3,131,0.022388059701492536
89c2e3101abffff,4,142,0.0273972602739726
89c2e3101afffff,10,143,0.06535947712418301
89c2e3101b3ffff,10,186,0.05102040816326531
89c2e3101b7ffff,8,184,0.041666666666666664
89c2e3101bbffff,19,144,0.1165644171779141
89c2e3101c3ffff,11,153,0.06707317073170732
89c2e3101c7ffff,2,147,0.013422818791946308
89c2e3101cbffff,0,41,0.0
89c2e3101cfffff,1,138,0.007194244604316547
89c2e3101d3ffff,3,142,0.020689655172413793
89c2e3101d7ffff,0,103,0.0
89c2e3101dbffff,3,84,0.034482758620689655
89c2e310203ffff,2,134,0.014705882352941176
89c2e310207ffff,4,162,0.024096385542168676
89c2e31020bffff,5,151,0.03205128205128205
89c2e31020fffff,4,196,0.02
89c2e310213ffff,7,166,0.04046242774566474
89c2e310217ffff,4,149,0.026143790849673203
89c2e31021bffff,4,170,0.022988505747126436
89c2e310223ffff,9,169,0.05056179775280899
89c2e310227ffff,2,97,0.020202020202020204
89c2e31022bffff,2,191,0.010362694300518135
89c2e31022fffff,4,144,0.02702702702702703
89c2e310233ffff,8,201,0.03827751196172249
89c2e310237ffff,1,142,0.006993006993006993
89c2e31023bffff,5,173,0.028089887640449437
89c2e310243ffff,5,140,0.034482758620689655
89c2e310247ffff,4,159,0.024539877300613498
89c2e31024bffff,8,159,0.04790419161676647
89c2e31024fffff,15,137,0.09868421052631579
89c2e310253ffff,18,209,0.07929515418502203
89c2e310257ffff,15,160,0.08571428571428572
89c2e31025bffff,1,181,0.005494505494505495
89c2e310263ffff,11,148,0.06918238993710692
89c2e310267ffff,1,171,0.005813953488372093
89c2e31026bffff,9,185,0.04639175257731959
89c2e31026fffff,6,168,0.034482758620689655
89c2e310273ffff,4,193,0.02030456852791878
89c2e310277ffff,9,235,0.036885245901639344
89c2e31027bffff,5,172,0.02824858757062147
89c2e310283ffff,2,194,0.01020408163265306
89c2e310287ffff,4,181,0.021621621621621623
89c2e31028bffff,6,139,0.041379310344827586
89c2e31028fffff,3,160,0.018404907975460124
89c2e310293ffff,11,174,0.05945945945945946
89c2e310297ffff,4,166,0.023529411764705882
89c2e31029bffff,8,177,0.043243243243243246
89c2e3102a3ffff,12,153,0.07272727272727272
89c2e3102a7ffff,3,164,0.017964071856287425
89c2e3102abffff,17,243,0.06538461538461539
89c2e3102afffff,5,170,0.02857142857142857
89c2e3102b3ffff,4,148,0.02631578947368421
89c2e3102b7ffff,12,154,0.07228915662650602
89c2e3102bbffff,9,192,0.04477611940298507
89c2e3102c3ffff,6,156,0.037037037037037035
89c2e3102c7ffff,14,115,0.10852713178294573
89c2e3102cbffff,6,150,0.038461538461538464
89c2e3102cfffff,28,170,0.1414141414141414
89c2e3102d3ffff,16,197,0.07511737089201878
89c2e3102d7ffff,7,151,0.04430379746835443
89c2e3102dbffff,11,220,0.047619047619047616
89c2e310303ffff,18,129,0.12244897959183673
89c2e310307ffff,2,118,0.016666666666666666
89c2e31030bffff,4,88,0.043478260869565216
89c2e31030fffff,7,174,0.03867403314917127
89c2e310313ffff,3,147,0.02
89c2e310317ffff,5,194,0.02512562814070352
89c2e31031bffff,26,177,0.12807881773399016
89c2e310323ffff,11,153,0.06707317073170732
89c2e310327ffff,2,172,0.011494252873563218
89c2e31032bffff,2,182,0.010869565217391304
89c2e31032fffff,8,179,0.0427807486631016
89c2e310333ffff,7,197,0.03431372549019608
89c2e310337ffff,6,172,0.033707865168539325
89c2e31033bffff,11,172,0.060109289617486336
89c2e310343ffff,3,100,0.02912621359223301
89c2e310347ffff,20,53,0.273972602739726
89c2e31034bffff,7,96,0.06796116504854369
89c2e31034fffff,1,128,0.007751937984496124
89c2e310353ffff,7,127,0.05223880597014925
89c2e310357ffff,16,202,0.07339449541284404
89c2e31035bffff,2,119,0.01652892561983471
89c2e310363ffff,25,119,0.1736111111111111
89c2e310367ffff,6,166,0.03488372093023256
89c2e31036bffff,8,152,0.05
89c2e31036fffff,29,169,0.14646464646464646
89c2e310377ffff,4,143,0.027210884353741496
89c2e31037bffff,10,74,0.11904761904761904
89c2e310383ffff,10,192,0.04950495049504951
89c2e310387ffff,4,204,0.019230769230769232
89c2e31038bffff,11,156,0.0658682634730539
89c2e31038fffff,5,148,0.032679738562091505
89c2e310393ffff,4,141,0.027586206896551724
89c2e310397ffff,5,208,0.023474178403755867
89c2e31039bffff,4,150,0.025974025974025976
89c2e3103a3ffff,3,132,0.022222222222222223
89c2e3103a7ffff,5,173,0.028089887640449437
89c2e3103abffff,7,170,0.03954802259887006
89c2e3103afffff,0,152,0.0
89c2e3103b3ffff,17,200,0.07834101382488479
89c2e3103b7ffff,9,158,0.05389221556886228
89c2e3103bbffff,7,298,0.022950819672131147
89c2e3103c3ffff,12,88,0.12
89c2e3103c7ffff,12,201,0.056338028169014086
89c2e3103cbffff,15,163,0.08426966292134831
89c2e3103cfffff,9,182,0.04712041884816754
89c2e3103d3ffff,3,28,0.0967741935483871
89c2e3103d7ffff,8,139,0.05442176870748299
89c2e3103dbffff,5,175,0.027777777777777776
89c2e310403ffff,7,77,0.08333333333333333
89c2e310407ffff,6,116,0.04918032786885246
89c2e31040bffff,6,160,0.03614457831325301
89c2e31040fffff,5,191,0.025510204081632654
89c2e310417ffff,0,6,0.0
89c2e31041bffff,1,7,0.125
89c2e310423ffff,19,212,0.08225108225108226
89c2e310427ffff,8,145,0.05228758169934641
89c2e31042bffff,14,214,0.06140350877192982
89c2e31042fffff,20,59,0.25316455696202533
89c2e310433ffff,9,180,0.047619047619047616
89c2e310437ffff,2,177,0.0111731843575419
89c2e31043bffff,10,224,0.042735042735042736
89c2e310443ffff,9,114,0.07317073170731707
89c2e310447ffff,16,151,0.09580838323353294
89c2e31044bffff,2,245,0.008097165991902834
89c2e31044fffff,9,201,0.04285714285714286
89c2e310453ffff,1,136,0.0072992700729927005
89c2e310457ffff,6,92,0.061224489795918366
89c2e31045bffff,2,201,0.009852216748768473
89c2e310463ffff,9,223,0.03879310344827586
89c2e310467ffff,33,200,0.14163090128755365
89c2e31046bffff,21,221,0.08677685950413223
89c2e31046fffff,28,198,0.12389380530973451
89c2e310473ffff,1,155,0.00641025641025641
89c2e310477ffff,16,245,0.06130268199233716
